[1705] [[福徳私年号]]・[[月]]ごと地域ごとの用例数 /
令和8年8月6日時点暫定集計 (未精査)

,* 月           ,* 工房A       ,* 工房B       ,* 工房C       ,* 工房D       ,* 工房E       ,* 工房F       ,* 工房G       ,* 工房H       ,* 工房I       ,* 工房J       ,* 工房K       ,* 工房L       ,* 工房M       ,* 工房N       ,* 福島県       ,* 栃木県       ,* 群馬県       ,* 茨城県       ,* 千葉県       ,* 埼玉県       ,* 東京都       ,* 神奈川県      ,* 長野県       ,* 山梨県       ,* 滋賀県       ,* 計     
,* 亥11月        ,_/1/_ (1)   ,            ,            ,            ,_/_/1 (1)   ,_/1/_ (_)   ,            ,_/1/_ (_)   ,_/2/_ (_)   ,_/1/_ (_)   ,            ,            ,            ,_/_/_ (1)   ,_/1/_ (_)   ,            ,            ,            ,            ,_/1/_ (1)   ,_/1/_ (_)   ,            ,            ,_/1/_ (_)   ,            ,_/10/1 (4)
,* 亥12月        ,_/2/_ (_)   ,            ,            ,            ,            ,            ,            ,            ,_/1/_ (_)   ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,_/1/_ (_)   ,_/2/_ (_)   ,            ,_/_/2 (_)   ,_/_/_ (1)   ,            ,_/6/2 (1)
,* 亥月不明        ,            ,            ,_/2/_ (_)   ,            ,            ,            ,            ,            ,            ,_/1/_ (_)   ,            ,            ,            ,_/_/1 (_)   ,            ,_/2/2 (_)   ,_/1/_ (_)   ,            ,1/_/_ (_)   ,_/3/_ (1)   ,_/2/1 (2)   ,_/3/_ (_)   ,            ,            ,_/1/_ (_)   ,1/15/4 (3)

;; [1708] 
同時代的用例のみ。
[[第一類]]/[[第二類]]/[[第三類]] ([[延徳]])。


[1] 本記事: [SEE[ [[福徳私年号]] ]]
