#
# CITPC私用文字マッピングテーブル
#
# 更新履歴
#  2015-07-21 Ver1.0
#   初版
#  2018-05-31 Ver2.0
#   MJ文字情報一覧表Ver.005.01を参照し72文字のMJ文字図形名とその暫定私用コードを追加
#   MJ文字情報一覧表Ver.005.02を参照し2文字のMJ文字図形名とその暫定私用コードを追加
#
# MJ文字図形名	暫定私用コード
MJ014609	U+101CB2
MJ014610	U+101CB3
MJ014611	U+101CB4
MJ014618	U+101CB5
MJ014619	U+101CB6
MJ014620	U+101CB7
MJ014621	U+101CB8
MJ014622	U+101CB9
MJ014626	U+101CBA
MJ014627	U+101CBB
MJ014638	U+101CBC
MJ014639	U+101CBD
MJ014651	U+101CBE
MJ014652	U+101CBF
MJ014658	U+101CC0
MJ014659	U+101CC1
MJ014660	U+101CC2
MJ014669	U+101CC3
MJ014670	U+101CC4
MJ014671	U+101CC5
MJ014672	U+101CC6
MJ014673	U+101CC7
MJ014674	U+101CC8
MJ014675	U+101CC9
MJ014676	U+101CCA
MJ014677	U+101CCB
MJ014678	U+101CCC
MJ014679	U+101CCD
MJ014680	U+101CCE
MJ014686	U+101CCF
MJ014687	U+101CD0
MJ014692	U+101CD1
MJ014701	U+101CD2
MJ014702	U+101CD3
MJ014713	U+101CD4
MJ014714	U+101CD5
MJ014716	U+101CD6
MJ014719	U+101CD7
MJ014720	U+101CD8
MJ014723	U+101CD9
MJ014724	U+101CDA
MJ014734	U+101CDB
MJ014735	U+101CDC
MJ014742	U+101CDD
MJ014743	U+101CDE
MJ014745	U+101CDF
MJ014746	U+101CE0
MJ014748	U+101CE1
MJ014749	U+101CE2
MJ014751	U+101CE3
MJ014760	U+101CE4
MJ014761	U+101CE5
MJ014763	U+101CE6
MJ014780	U+101CE7
MJ014787	U+101CE8
MJ014788	U+101CE9
MJ014789	U+101CEA
MJ014790	U+101CEB
MJ014792	U+101CEC
MJ014793	U+101CED
MJ014798	U+101CEE
MJ014799	U+101CEF
MJ014801	U+101CF0
MJ014802	U+101CF1
MJ014806	U+101CF2
MJ014807	U+101CF3
MJ014808	U+101CF4
MJ014809	U+101CF5
MJ014813	U+101CF6
MJ014814	U+101CF7
MJ014821	U+101CF8
MJ014822	U+101CF9
MJ014823	U+101CFA
MJ014824	U+101CFB
MJ014837	U+101CFC
MJ014838	U+101CFD
MJ014839	U+101CFE
MJ014841	U+101CFF
MJ014842	U+101D00
MJ014843	U+101D01
MJ014844	U+101D02
MJ014849	U+101D03
MJ014850	U+101D04
MJ014869	U+101D05
MJ014870	U+101D06
MJ014885	U+101D07
MJ014894	U+101D08
MJ014895	U+101D09
MJ014901	U+101D0A
MJ014902	U+101D0B
MJ014903	U+101D0C
MJ014904	U+101D0D
MJ014905	U+101D0E
MJ014908	U+101D0F
MJ014909	U+101D10
MJ014914	U+101D11
MJ014916	U+101D12
MJ014917	U+101D13
MJ014918	U+101D14
MJ014919	U+101D15
MJ014920	U+101D16
MJ014929	U+101D17
MJ014930	U+101D18
MJ014943	U+101D19
MJ014944	U+101D1A
MJ014945	U+101D1B
MJ014978	U+101D1C
MJ014979	U+101D1D
MJ014988	U+101D1E
MJ014989	U+101D1F
MJ014993	U+101D20
MJ014994	U+101D21
MJ014995	U+101D22
MJ015002	U+101D23
MJ015003	U+101D24
MJ015005	U+101D25
MJ015008	U+101D26
MJ015009	U+101D27
MJ015010	U+101D28
MJ015011	U+101D29
MJ015015	U+101D2A
MJ015016	U+101D2B
MJ015049	U+101D2C
MJ015059	U+101D2D
MJ015060	U+101D2E
MJ015061	U+101D2F
MJ015062	U+101D30
MJ015066	U+101D31
MJ015067	U+101D32
MJ015076	U+101D33
MJ015077	U+101D34
MJ015090	U+101D35
MJ015091	U+101D36
MJ015098	U+101D37
MJ015099	U+101D38
MJ015100	U+101D39
MJ015105	U+101D3A
MJ015106	U+101D3B
MJ015108	U+101D3C
MJ015109	U+101D3D
MJ015111	U+101D3E
MJ015112	U+101D3F
MJ015120	U+101D40
MJ015121	U+101D41
MJ015132	U+101D42
MJ015147	U+101D43
MJ015148	U+101D44
MJ015149	U+101D45
MJ015158	U+101D46
MJ015159	U+101D47
MJ015160	U+101D48
MJ015161	U+101D49
MJ015163	U+101D4A
MJ015164	U+101D4B
MJ015177	U+101D4C
MJ015178	U+101D4D
MJ015186	U+101D4E
MJ015187	U+101D4F
MJ015188	U+101D50
MJ015203	U+101D51
MJ015208	U+101D52
MJ015209	U+101D53
MJ015210	U+101D54
MJ015217	U+101D55
MJ015218	U+101D56
MJ015226	U+101D57
MJ015227	U+101D58
MJ015233	U+101D59
MJ015234	U+101D5A
MJ015235	U+101D5B
MJ015236	U+101D5C
MJ015244	U+101D5D
MJ015245	U+101D5E
MJ015251	U+101D5F
MJ015252	U+101D60
MJ015296	U+101D61
MJ015300	U+101D62
MJ015306	U+101D63
MJ015307	U+101D64
MJ015312	U+101D65
MJ015313	U+101D66
MJ015324	U+101D67
MJ015325	U+101D68
MJ015329	U+101D69
MJ015330	U+101D6A
MJ015355	U+101D6B
MJ015356	U+101D6C
MJ015361	U+101D6D
MJ015362	U+101D6E
MJ015371	U+101D6F
MJ015372	U+101D70
MJ015373	U+101D71
MJ015390	U+101D72
MJ015391	U+101D73
MJ015397	U+101D74
MJ015398	U+101D75
MJ015415	U+101D76
MJ015416	U+101D77
MJ015425	U+101D78
MJ015426	U+101D79
MJ015436	U+101D7A
MJ015438	U+101D7B
MJ015442	U+101D7C
MJ015443	U+101D7D
MJ015444	U+101D7E
MJ015451	U+101D7F
MJ015452	U+101D80
MJ015454	U+101D81
MJ015455	U+101D82
MJ015459	U+101D83
MJ015460	U+101D84
MJ015477	U+101D85
MJ015478	U+101D86
MJ015488	U+101D87
MJ015489	U+101D88
MJ015492	U+101D89
MJ015493	U+101D8A
MJ015504	U+101D8B
MJ015511	U+101D8C
MJ015512	U+101D8D
MJ015538	U+101D8E
MJ015541	U+101D8F
MJ015542	U+101D90
MJ015545	U+101D91
MJ015546	U+101D92
MJ015549	U+101D93
MJ015550	U+101D94
MJ015554	U+101D95
MJ015555	U+101D96
MJ015562	U+101D97
MJ015563	U+101D98
MJ015564	U+101D99
MJ015565	U+101D9A
MJ015566	U+101D9B
MJ015571	U+101D9C
MJ015572	U+101D9D
MJ015575	U+101D9E
MJ015576	U+101D9F
MJ015601	U+101DA0
MJ015605	U+101DA1
MJ015606	U+101DA2
MJ015615	U+101DA3
MJ015616	U+101DA4
MJ015630	U+101DA5
MJ015631	U+101DA6
MJ015638	U+101DA7
MJ015639	U+101DA8
MJ015640	U+101DA9
MJ015646	U+101DAA
MJ015647	U+101DAB
MJ015649	U+101DAC
MJ015650	U+101DAD
MJ015657	U+101DAE
MJ015658	U+101DAF
MJ015660	U+101DB0
MJ015661	U+101DB1
MJ015663	U+101DB2
MJ015664	U+101DB3
MJ015670	U+101DB4
MJ015671	U+101DB5
MJ015672	U+101DB6
MJ015675	U+101DB7
MJ015676	U+101DB8
MJ015686	U+101DB9
MJ015687	U+101DBA
MJ015692	U+101DBB
MJ015693	U+101DBC
MJ015694	U+101DBD
MJ015697	U+101DBE
MJ015698	U+101DBF
MJ015703	U+101DC0
MJ015704	U+101DC1
MJ015712	U+101DC2
MJ015713	U+101DC3
MJ015714	U+101DC4
MJ015715	U+101DC5
MJ015723	U+101DC6
MJ015724	U+101DC7
MJ015729	U+101DC8
MJ015730	U+101DC9
MJ015733	U+101DCA
MJ015738	U+101DCB
MJ015739	U+101DCC
MJ015743	U+101DCD
MJ015744	U+101DCE
MJ015745	U+101DCF
MJ015746	U+101DD0
MJ015755	U+101DD1
MJ015756	U+101DD2
MJ015757	U+101DD3
MJ015758	U+101DD4
MJ015759	U+101DD5
MJ015766	U+101DD6
MJ015774	U+101DD7
MJ015775	U+101DD8
MJ015779	U+101DD9
MJ015780	U+101DDA
MJ015783	U+101DDB
MJ015784	U+101DDC
MJ015794	U+101DDD
MJ015795	U+101DDE
MJ015796	U+101DDF
MJ015797	U+101DE0
MJ015799	U+101DE1
MJ015800	U+101DE2
MJ015816	U+101DE3
MJ015817	U+101DE4
MJ015818	U+101DE5
MJ015819	U+101DE6
MJ015820	U+101DE7
MJ015821	U+101DE8
MJ015822	U+101DE9
MJ015824	U+101DEA
MJ015831	U+101DEB
MJ015832	U+101DEC
MJ015838	U+101DED
MJ015839	U+101DEE
MJ015841	U+101DEF
MJ015842	U+101DF0
MJ015844	U+101DF1
MJ015845	U+101DF2
MJ015850	U+101DF3
MJ015851	U+101DF4
MJ015854	U+101DF5
MJ015855	U+101DF6
MJ015857	U+101DF7
MJ015858	U+101DF8
MJ015864	U+101DF9
MJ015865	U+101DFA
MJ015873	U+101DFB
MJ015874	U+101DFC
MJ015875	U+101DFD
MJ015879	U+101DFE
MJ015880	U+101DFF
MJ015896	U+101E00
MJ015897	U+101E01
MJ015898	U+101E02
MJ015899	U+101E03
MJ015907	U+101E04
MJ015908	U+101E05
MJ015909	U+101E06
MJ015910	U+101E07
MJ015911	U+101E08
MJ015922	U+101E09
MJ015923	U+101E0A
MJ015934	U+101E0B
MJ015935	U+101E0C
MJ015936	U+101E0D
MJ015937	U+101E0E
MJ015938	U+101E0F
MJ015939	U+101E10
MJ015944	U+101E11
MJ015945	U+101E12
MJ015949	U+101E13
MJ015950	U+101E14
MJ015954	U+101E15
MJ015955	U+101E16
MJ015957	U+101E17
MJ015958	U+101E18
MJ015959	U+101E19
MJ015960	U+101E1A
MJ015961	U+101E1B
MJ015962	U+101E1C
MJ015963	U+101E1D
MJ015964	U+101E1E
MJ015966	U+101E1F
MJ015967	U+101E20
MJ015968	U+101E21
MJ015991	U+101E22
MJ015992	U+101E23
MJ015993	U+101E24
MJ015994	U+101E25
MJ015997	U+101E26
MJ015998	U+101E27
MJ016002	U+101E28
MJ016003	U+101E29
MJ016004	U+101E2A
MJ016011	U+101E2B
MJ016012	U+101E2C
MJ016013	U+101E2D
MJ016014	U+101E2E
MJ016018	U+101E2F
MJ016019	U+101E30
MJ016023	U+101E31
MJ016024	U+101E32
MJ016028	U+101E33
MJ016029	U+101E34
MJ016036	U+101E35
MJ016037	U+101E36
MJ016041	U+101E37
MJ016042	U+101E38
MJ016044	U+101E39
MJ016045	U+101E3A
MJ016047	U+101E3B
MJ016048	U+101E3C
MJ016050	U+101E3D
MJ016051	U+101E3E
MJ016064	U+101E3F
MJ016065	U+101E40
MJ016068	U+101E41
MJ016069	U+101E42
MJ016070	U+101E43
MJ016075	U+101E44
MJ016076	U+101E45
MJ016084	U+101E46
MJ016085	U+101E47
MJ016087	U+101E48
MJ016088	U+101E49
MJ016097	U+101E4A
MJ016098	U+101E4B
MJ016099	U+101E4C
MJ016101	U+101E4D
MJ016102	U+101E4E
MJ016103	U+101E4F
MJ016106	U+101E50
MJ016109	U+101E51
MJ016110	U+101E52
MJ016119	U+101E53
MJ016120	U+101E54
MJ016127	U+101E55
MJ016128	U+101E56
MJ016135	U+101E57
MJ016137	U+101E58
MJ016138	U+101E59
MJ016141	U+101E5A
MJ016143	U+101E5B
MJ016144	U+101E5C
MJ016150	U+101E5D
MJ016151	U+101E5E
MJ016152	U+101E5F
MJ016153	U+101E60
MJ016154	U+101E61
MJ016155	U+101E62
MJ016156	U+101E63
MJ016159	U+101E64
MJ016160	U+101E65
MJ016161	U+101E66
MJ016162	U+101E67
MJ016163	U+101E68
MJ016165	U+101E69
MJ016166	U+101E6A
MJ016168	U+101E6B
MJ016169	U+101E6C
MJ016170	U+101E6D
MJ016171	U+101E6E
MJ016175	U+101E6F
MJ016176	U+101E70
MJ016177	U+101E71
MJ016178	U+101E72
MJ016179	U+101E73
MJ016180	U+101E74
MJ016181	U+101E75
MJ016182	U+101E76
MJ016200	U+101E77
MJ016207	U+101E78
MJ016208	U+101E79
MJ016211	U+101E7A
MJ016212	U+101E7B
MJ016215	U+101E7C
MJ016216	U+101E7D
MJ016219	U+101E7E
MJ016220	U+101E7F
MJ016223	U+101E80
MJ016224	U+101E81
MJ016226	U+101E82
MJ016227	U+101E83
MJ016234	U+101E84
MJ016237	U+101E85
MJ016238	U+101E86
MJ016256	U+101E87
MJ016257	U+101E88
MJ016262	U+101E89
MJ016263	U+101E8A
MJ016264	U+101E8B
MJ016266	U+101E8C
MJ016267	U+101E8D
MJ016275	U+101E8E
MJ016276	U+101E8F
MJ016277	U+101E90
MJ016278	U+101E91
MJ016282	U+101E92
MJ016283	U+101E93
MJ016284	U+101E94
MJ016285	U+101E95
MJ016287	U+101E96
MJ016288	U+101E97
MJ016296	U+101E98
MJ016297	U+101E99
MJ016331	U+101E9A
MJ016332	U+101E9B
MJ016333	U+101E9C
MJ016334	U+101E9D
MJ016335	U+101E9E
MJ016336	U+101E9F
MJ016341	U+101EA0
MJ016342	U+101EA1
MJ016346	U+101EA2
MJ016347	U+101EA3
MJ016385	U+101EA4
MJ016386	U+101EA5
MJ016413	U+101EA6
MJ016414	U+101EA7
MJ016422	U+101EA8
MJ016445	U+101EA9
MJ016446	U+101EAA
MJ016465	U+101EAB
MJ016466	U+101EAC
MJ016474	U+101EAD
MJ016475	U+101EAE
MJ016480	U+101EAF
MJ016481	U+101EB0
MJ016486	U+101EB1
MJ016487	U+101EB2
MJ016488	U+101EB3
MJ016492	U+101EB4
MJ016493	U+101EB5
MJ016496	U+101EB6
MJ016497	U+101EB7
MJ016506	U+101EB8
MJ016507	U+101EB9
MJ016508	U+101EBA
MJ016520	U+101EBB
MJ016528	U+101EBC
MJ016529	U+101EBD
MJ016532	U+101EBE
MJ016533	U+101EBF
MJ016534	U+101EC0
MJ016545	U+101EC1
MJ016546	U+101EC2
MJ016561	U+101EC3
MJ016562	U+101EC4
MJ016564	U+101EC5
MJ016576	U+101EC6
MJ016577	U+101EC7
MJ016580	U+101EC8
MJ016581	U+101EC9
MJ016595	U+101ECA
MJ016596	U+101ECB
MJ016605	U+101ECC
MJ016606	U+101ECD
MJ016607	U+101ECE
MJ016608	U+101ECF
MJ016610	U+101ED0
MJ016611	U+101ED1
MJ016612	U+101ED2
MJ016613	U+101ED3
MJ016615	U+101ED4
MJ016616	U+101ED5
MJ016626	U+101ED6
MJ016630	U+101ED7
MJ016631	U+101ED8
MJ016632	U+101ED9
MJ016637	U+101EDA
MJ016646	U+101EDB
MJ016647	U+101EDC
MJ016654	U+101EDD
MJ016655	U+101EDE
MJ016656	U+101EDF
MJ016657	U+101EE0
MJ016664	U+101EE1
MJ016665	U+101EE2
MJ016672	U+101EE3
MJ016673	U+101EE4
MJ016677	U+101EE5
MJ016678	U+101EE6
MJ016682	U+101EE7
MJ016683	U+101EE8
MJ016691	U+101EE9
MJ016692	U+101EEA
MJ016694	U+101EEB
MJ016695	U+101EEC
MJ016708	U+101EED
MJ016709	U+101EEE
MJ016712	U+101EEF
MJ016713	U+101EF0
MJ016717	U+101EF1
MJ016718	U+101EF2
MJ016723	U+101EF3
MJ016724	U+101EF4
MJ016728	U+101EF5
MJ016729	U+101EF6
MJ016730	U+101EF7
MJ016731	U+101EF8
MJ016734	U+101EF9
MJ016738	U+101EFA
MJ016740	U+101EFB
MJ016741	U+101EFC
MJ016743	U+101EFD
MJ016744	U+101EFE
MJ016747	U+101EFF
MJ016748	U+101F00
MJ016749	U+101F01
MJ016750	U+101F02
MJ016751	U+101F03
MJ016752	U+101F04
MJ016753	U+101F05
MJ016754	U+101F06
MJ016755	U+101F07
MJ016756	U+101F08
MJ016757	U+101F09
MJ016758	U+101F0A
MJ016762	U+101F0B
MJ016763	U+101F0C
MJ016766	U+101F0D
MJ016767	U+101F0E
MJ016773	U+101F0F
MJ016774	U+101F10
MJ016775	U+101F11
MJ016776	U+101F12
MJ016777	U+101F13
MJ016783	U+101F14
MJ016784	U+101F15
MJ016787	U+101F16
MJ016788	U+101F17
MJ016791	U+101F18
MJ016792	U+101F19
MJ016794	U+101F1A
MJ016795	U+101F1B
MJ016801	U+101F1C
MJ016802	U+101F1D
MJ016803	U+101F1E
MJ016804	U+101F1F
MJ016805	U+101F20
MJ016837	U+101F21
MJ016838	U+101F22
MJ016842	U+101F23
MJ016843	U+101F24
MJ016845	U+101F25
MJ016864	U+101F26
MJ016886	U+101F27
MJ016887	U+101F28
MJ016889	U+101F29
MJ016890	U+101F2A
MJ016894	U+101F2B
MJ016895	U+101F2C
MJ016916	U+101F2D
MJ016917	U+101F2E
MJ016923	U+101F2F
MJ016924	U+101F30
MJ016925	U+101F31
MJ016940	U+101F32
MJ016941	U+101F33
MJ016958	U+101F34
MJ016995	U+101F35
MJ016996	U+101F36
MJ017008	U+101F37
MJ017009	U+101F38
MJ017010	U+101F39
MJ017015	U+101F3A
MJ017016	U+101F3B
MJ017022	U+101F3C
MJ017023	U+101F3D
MJ017024	U+101F3E
MJ017025	U+101F3F
MJ017026	U+101F40
MJ017027	U+101F41
MJ017049	U+101F42
MJ017050	U+101F43
MJ017052	U+101F44
MJ017053	U+101F45
MJ017054	U+101F46
MJ017055	U+101F47
MJ017057	U+101F48
MJ017058	U+101F49
MJ017069	U+101F4A
MJ017070	U+101F4B
MJ017075	U+101F4C
MJ017076	U+101F4D
MJ017078	U+101F4E
MJ017079	U+101F4F
MJ017088	U+101F50
MJ017089	U+101F51
MJ017091	U+101F52
MJ017092	U+101F53
MJ017098	U+101F54
MJ017100	U+101F55
MJ017101	U+101F56
MJ017108	U+101F57
MJ017109	U+101F58
MJ017115	U+101F59
MJ017116	U+101F5A
MJ017117	U+101F5B
MJ017118	U+101F5C
MJ017121	U+101F5D
MJ017128	U+101F5E
MJ017129	U+101F5F
MJ017139	U+101F60
MJ017140	U+101F61
MJ017152	U+101F62
MJ017170	U+101F63
MJ017171	U+101F64
MJ017187	U+101F65
MJ017188	U+101F66
MJ017189	U+101F67
MJ017193	U+101F68
MJ017194	U+101F69
MJ017217	U+101F6A
MJ017218	U+101F6B
MJ017227	U+101F6C
MJ017228	U+101F6D
MJ017235	U+101F6E
MJ017236	U+101F6F
MJ017240	U+101F70
MJ017241	U+101F71
MJ017246	U+101F72
MJ017247	U+101F73
MJ017261	U+101F74
MJ017262	U+101F75
MJ017282	U+101F76
MJ017283	U+101F77
MJ017294	U+101F78
MJ017303	U+101F79
MJ017304	U+101F7A
MJ017306	U+101F7B
MJ017307	U+101F7C
MJ017308	U+101F7D
MJ017321	U+101F7E
MJ017322	U+101F7F
MJ017328	U+101F80
MJ017329	U+101F81
MJ017332	U+101F82
MJ017333	U+101F83
MJ017334	U+101F84
MJ017335	U+101F85
MJ017341	U+101F86
MJ017342	U+101F87
MJ017350	U+101F88
MJ017352	U+101F89
MJ017353	U+101F8A
MJ017354	U+101F8B
MJ017355	U+101F8C
MJ017359	U+101F8D
MJ017360	U+101F8E
MJ017363	U+101F8F
MJ017364	U+101F90
MJ017365	U+101F91
MJ017366	U+101F92
MJ017368	U+101F93
MJ017376	U+101F94
MJ017377	U+101F95
MJ017379	U+101F96
MJ017380	U+101F97
MJ017381	U+101F98
MJ017382	U+101F99
MJ017384	U+101F9A
MJ017385	U+101F9B
MJ017389	U+101F9C
MJ017400	U+101F9D
MJ017401	U+101F9E
MJ017404	U+101F9F
MJ017405	U+101FA0
MJ017408	U+101FA1
MJ017409	U+101FA2
MJ017411	U+101FA3
MJ017412	U+101FA4
MJ017416	U+101FA5
MJ017417	U+101FA6
MJ017418	U+101FA7
MJ017419	U+101FA8
MJ017420	U+101FA9
MJ017421	U+101FAA
MJ017432	U+101FAB
MJ017433	U+101FAC
MJ017443	U+101FAD
MJ017444	U+101FAE
MJ017446	U+101FAF
MJ017447	U+101FB0
MJ017448	U+101FB1
MJ017449	U+101FB2
MJ017450	U+101FB3
MJ017451	U+101FB4
MJ017452	U+101FB5
MJ017455	U+101FB6
MJ017456	U+101FB7
MJ017464	U+101FB8
MJ017465	U+101FB9
MJ017467	U+101FBA
MJ017468	U+101FBB
MJ017495	U+101FBC
MJ017496	U+101FBD
MJ017497	U+101FBE
MJ017498	U+101FBF
MJ017499	U+101FC0
MJ017500	U+101FC1
MJ017504	U+101FC2
MJ017505	U+101FC3
MJ017513	U+101FC4
MJ017514	U+101FC5
MJ017516	U+101FC6
MJ017517	U+101FC7
MJ017519	U+101FC8
MJ017520	U+101FC9
MJ017521	U+101FCA
MJ017523	U+101FCB
MJ017524	U+101FCC
MJ017525	U+101FCD
MJ017526	U+101FCE
MJ017527	U+101FCF
MJ017528	U+101FD0
MJ017529	U+101FD1
MJ017530	U+101FD2
MJ017532	U+101FD3
MJ017533	U+101FD4
MJ017534	U+101FD5
MJ017535	U+101FD6
MJ017536	U+101FD7
MJ017537	U+101FD8
MJ017538	U+101FD9
MJ017548	U+101FDA
MJ017549	U+101FDB
MJ017550	U+101FDC
MJ017551	U+101FDD
MJ017552	U+101FDE
MJ017553	U+101FDF
MJ017557	U+101FE0
MJ017558	U+101FE1
MJ017572	U+101FE2
MJ017573	U+101FE3
MJ017576	U+101FE4
MJ017577	U+101FE5
MJ017578	U+101FE6
MJ017579	U+101FE7
MJ017581	U+101FE8
MJ017582	U+101FE9
MJ017583	U+101FEA
MJ017589	U+101FEB
MJ017590	U+101FEC
MJ017591	U+101FED
MJ017592	U+101FEE
MJ017593	U+101FEF
MJ017594	U+101FF0
MJ017595	U+101FF1
MJ017596	U+101FF2
MJ017599	U+101FF3
MJ017600	U+101FF4
MJ017601	U+101FF5
MJ017602	U+101FF6
MJ017606	U+101FF7
MJ017607	U+101FF8
MJ017608	U+101FF9
MJ017625	U+101FFA
MJ017626	U+101FFB
MJ017627	U+101FFC
MJ017628	U+101FFD
MJ017633	U+101FFE
MJ017646	U+101FFF
MJ017647	U+102000
MJ017651	U+102001
MJ017652	U+102002
MJ017657	U+102003
MJ017658	U+102004
MJ017661	U+102005
MJ017662	U+102006
MJ017675	U+102007
MJ017676	U+102008
MJ017681	U+102009
MJ017682	U+10200A
MJ017691	U+10200B
MJ017692	U+10200C
MJ017706	U+10200D
MJ017707	U+10200E
MJ017726	U+10200F
MJ017727	U+102010
MJ017747	U+102011
MJ017765	U+102012
MJ017766	U+102013
MJ017777	U+102014
MJ017778	U+102015
MJ017790	U+102016
MJ017791	U+102017
MJ017795	U+102018
MJ017796	U+102019
MJ017798	U+10201A
MJ017799	U+10201B
MJ017810	U+10201C
MJ017811	U+10201D
MJ017839	U+10201E
MJ017840	U+10201F
MJ017845	U+102020
MJ017846	U+102021
MJ017849	U+102022
MJ017850	U+102023
MJ017853	U+102024
MJ017854	U+102025
MJ017855	U+102026
MJ017856	U+102027
MJ017869	U+102028
MJ017870	U+102029
MJ017874	U+10202A
MJ017875	U+10202B
MJ017879	U+10202C
MJ017880	U+10202D
MJ017883	U+10202E
MJ017884	U+10202F
MJ017888	U+102030
MJ017889	U+102031
MJ017890	U+102032
MJ017891	U+102033
MJ017893	U+102034
MJ017894	U+102035
MJ017903	U+102036
MJ017904	U+102037
MJ017912	U+102038
MJ017913	U+102039
MJ017916	U+10203A
MJ017917	U+10203B
MJ017923	U+10203C
MJ017924	U+10203D
MJ017932	U+10203E
MJ017933	U+10203F
MJ017935	U+102040
MJ017936	U+102041
MJ017937	U+102042
MJ017943	U+102043
MJ017944	U+102044
MJ017952	U+102045
MJ017953	U+102046
MJ017954	U+102047
MJ017956	U+102048
MJ017957	U+102049
MJ017959	U+10204A
MJ017961	U+10204B
MJ017962	U+10204C
MJ017969	U+10204D
MJ017970	U+10204E
MJ017971	U+10204F
MJ017972	U+102050
MJ017973	U+102051
MJ017974	U+102052
MJ017987	U+102053
MJ017989	U+102054
MJ017990	U+102055
MJ017991	U+102056
MJ017993	U+102057
MJ017994	U+102058
MJ018005	U+102059
MJ018006	U+10205A
MJ018007	U+10205B
MJ018008	U+10205C
MJ018012	U+10205D
MJ018013	U+10205E
MJ018026	U+10205F
MJ018027	U+102060
MJ018032	U+102061
MJ018033	U+102062
MJ018038	U+102063
MJ018039	U+102064
MJ018048	U+102065
MJ018049	U+102066
MJ018051	U+102067
MJ018052	U+102068
MJ018055	U+102069
MJ018056	U+10206A
MJ018057	U+10206B
MJ018058	U+10206C
MJ018072	U+10206D
MJ018073	U+10206E
MJ018079	U+10206F
MJ018086	U+102070
MJ018087	U+102071
MJ018093	U+102072
MJ018094	U+102073
MJ018098	U+102074
MJ018099	U+102075
MJ018101	U+102076
MJ018103	U+102077
MJ018104	U+102078
MJ018120	U+102079
MJ018121	U+10207A
MJ018123	U+10207B
MJ018124	U+10207C
MJ018132	U+10207D
MJ018133	U+10207E
MJ018142	U+10207F
MJ018143	U+102080
MJ018159	U+102081
MJ018160	U+102082
MJ018170	U+102083
MJ018171	U+102084
MJ018172	U+102085
MJ018173	U+102086
MJ018174	U+102087
MJ018175	U+102088
MJ018189	U+102089
MJ018190	U+10208A
MJ018201	U+10208B
MJ018202	U+10208C
MJ018210	U+10208D
MJ018212	U+10208E
MJ018213	U+10208F
MJ018223	U+102090
MJ018224	U+102091
MJ018240	U+102092
MJ018241	U+102093
MJ018259	U+102094
MJ018260	U+102095
MJ018263	U+102096
MJ018264	U+102097
MJ018273	U+102098
MJ018274	U+102099
MJ018285	U+10209A
MJ018286	U+10209B
MJ018293	U+10209C
MJ018294	U+10209D
MJ018297	U+10209E
MJ018298	U+10209F
MJ018299	U+1020A0
MJ018304	U+1020A1
MJ018305	U+1020A2
MJ018318	U+1020A3
MJ018319	U+1020A4
MJ018321	U+1020A5
MJ018322	U+1020A6
MJ018330	U+1020A7
MJ018331	U+1020A8
MJ018332	U+1020A9
MJ018337	U+1020AA
MJ018338	U+1020AB
MJ018340	U+1020AC
MJ018341	U+1020AD
MJ018343	U+1020AE
MJ018344	U+1020AF
MJ018362	U+1020B0
MJ018363	U+1020B1
MJ018364	U+1020B2
MJ018367	U+1020B3
MJ018368	U+1020B4
MJ018375	U+1020B5
MJ018376	U+1020B6
MJ018382	U+1020B7
MJ018383	U+1020B8
MJ018401	U+1020B9
MJ018402	U+1020BA
MJ018409	U+1020BB
MJ018410	U+1020BC
MJ018431	U+1020BD
MJ018432	U+1020BE
MJ018441	U+1020BF
MJ018442	U+1020C0
MJ018470	U+1020C1
MJ018471	U+1020C2
MJ018493	U+1020C3
MJ018494	U+1020C4
MJ018495	U+1020C5
MJ018496	U+1020C6
MJ018502	U+1020C7
MJ018503	U+1020C8
MJ018518	U+1020C9
MJ018519	U+1020CA
MJ018520	U+1020CB
MJ018521	U+1020CC
MJ018523	U+1020CD
MJ018524	U+1020CE
MJ018529	U+1020CF
MJ018530	U+1020D0
MJ018533	U+1020D1
MJ018534	U+1020D2
MJ018535	U+1020D3
MJ018536	U+1020D4
MJ018537	U+1020D5
MJ018538	U+1020D6
MJ018555	U+1020D7
MJ018556	U+1020D8
MJ018561	U+1020D9
MJ018577	U+1020DA
MJ018578	U+1020DB
MJ018579	U+1020DC
MJ018580	U+1020DD
MJ018592	U+1020DE
MJ018593	U+1020DF
MJ018598	U+1020E0
MJ018599	U+1020E1
MJ018607	U+1020E2
MJ018608	U+1020E3
MJ018614	U+1020E4
MJ018615	U+1020E5
MJ018622	U+1020E6
MJ018623	U+1020E7
MJ018624	U+1020E8
MJ018625	U+1020E9
MJ018632	U+1020EA
MJ018633	U+1020EB
MJ018634	U+1020EC
MJ018635	U+1020ED
MJ018636	U+1020EE
MJ018637	U+1020EF
MJ018654	U+1020F0
MJ018655	U+1020F1
MJ018661	U+1020F2
MJ018662	U+1020F3
MJ018663	U+1020F4
MJ018671	U+1020F5
MJ018672	U+1020F6
MJ018674	U+1020F7
MJ018675	U+1020F8
MJ018685	U+1020F9
MJ018686	U+1020FA
MJ018704	U+1020FB
MJ018705	U+1020FC
MJ018709	U+1020FD
MJ018710	U+1020FE
MJ018712	U+1020FF
MJ018713	U+102100
MJ018717	U+102101
MJ018718	U+102102
MJ018723	U+102103
