#
# CITPC私用文字マッピングテーブル
#
# 更新履歴
#  2015-07-21 Ver1.0
#   初版
#  2018-05-31 Ver2.0
#   MJ文字情報一覧表Ver.005.01を参照し72文字のMJ文字図形名とその暫定私用コードを追加
#   MJ文字情報一覧表Ver.005.02を参照し2文字のMJ文字図形名とその暫定私用コードを追加
#
# MJ文字図形名	暫定私用コード
MJ002375	U+1010FB
MJ002447	U+1010FC
MJ002448	U+1010FD
MJ002468	U+1010FE
MJ002469	U+1010FF
MJ002550	U+101100
MJ002551	U+101101
MJ002567	U+101102
MJ002568	U+101103
MJ002721	U+101104
MJ002722	U+101105
MJ002730	U+101106
MJ002731	U+101107
MJ002749	U+101108
MJ002750	U+101109
MJ002780	U+10110A
MJ002781	U+10110B
MJ002807	U+10110C
MJ002808	U+10110D
MJ002855	U+10110E
MJ002856	U+10110F
MJ002863	U+101110
MJ002864	U+101111
MJ002865	U+101112
MJ002866	U+101113
MJ002897	U+101114
MJ002910	U+101115
MJ002911	U+101116
MJ002934	U+101117
MJ002935	U+101118
MJ002936	U+101119
MJ002960	U+10111A
MJ002961	U+10111B
MJ002985	U+10111C
MJ002986	U+10111D
MJ003031	U+10111E
MJ003032	U+10111F
MJ003033	U+101120
MJ003034	U+101121
MJ003038	U+101122
MJ003039	U+101123
MJ003040	U+101124
MJ003041	U+101125
MJ003042	U+101126
MJ003043	U+101127
MJ003044	U+101128
MJ003045	U+101129
MJ003048	U+10112A
MJ003049	U+10112B
MJ003050	U+10112C
MJ003056	U+10112D
MJ003057	U+10112E
MJ003059	U+10112F
MJ003060	U+101130
MJ003063	U+101131
MJ003064	U+101132
MJ003077	U+101133
MJ003078	U+101134
MJ003087	U+101135
MJ003088	U+101136
MJ003093	U+101137
MJ003094	U+101138
MJ003113	U+101139
MJ003114	U+10113A
MJ003116	U+10113B
MJ003117	U+10113C
MJ003146	U+10113D
MJ003147	U+10113E
MJ003177	U+10113F
MJ003178	U+101140
MJ003190	U+101141
MJ003191	U+101142
MJ003224	U+101143
MJ003225	U+101144
MJ003257	U+101145
MJ003258	U+101146
MJ003289	U+101147
MJ003290	U+101148
MJ003345	U+101149
MJ003346	U+10114A
MJ003347	U+10114B
MJ003348	U+10114C
MJ003424	U+10114D
MJ003425	U+10114E
MJ003496	U+10114F
MJ003497	U+101150
MJ003510	U+101151
MJ003511	U+101152
MJ003541	U+101153
MJ003542	U+101154
MJ003571	U+101155
MJ003572	U+101156
MJ003588	U+101157
MJ003589	U+101158
MJ003623	U+101159
MJ003624	U+10115A
MJ003627	U+10115B
MJ003628	U+10115C
MJ003649	U+10115D
MJ003650	U+10115E
MJ003718	U+10115F
MJ003719	U+101160
MJ003729	U+101161
MJ003730	U+101162
MJ003762	U+101163
MJ003763	U+101164
MJ003776	U+101165
MJ003777	U+101166
MJ003782	U+101167
MJ003791	U+101168
MJ003806	U+101169
MJ003807	U+10116A
MJ003833	U+10116B
MJ003835	U+10116C
MJ003836	U+10116D
MJ003927	U+10116E
MJ003928	U+10116F
MJ003965	U+101170
MJ003966	U+101171
MJ003980	U+101172
MJ003981	U+101173
MJ003989	U+101174
MJ003990	U+101175
MJ003992	U+101176
MJ003993	U+101177
MJ003997	U+101178
MJ003998	U+101179
MJ004000	U+10117A
MJ004001	U+10117B
MJ004004	U+10117C
MJ004005	U+10117D
MJ004008	U+10117E
MJ004009	U+10117F
MJ004010	U+101180
MJ004011	U+101181
MJ004018	U+101182
MJ004019	U+101183
MJ004020	U+101184
MJ004021	U+101185
MJ004034	U+101186
MJ004035	U+101187
MJ004039	U+101188
MJ004040	U+101189
MJ004043	U+10118A
MJ004044	U+10118B
MJ004045	U+10118C
MJ004046	U+10118D
MJ004064	U+10118E
MJ004065	U+10118F
MJ004072	U+101190
MJ004073	U+101191
MJ004077	U+101192
MJ004078	U+101193
MJ004084	U+101194
MJ004085	U+101195
MJ004097	U+101196
MJ004098	U+101197
MJ004100	U+101198
MJ004101	U+101199
MJ004103	U+10119A
MJ004104	U+10119B
MJ004109	U+10119C
MJ004110	U+10119D
MJ004131	U+10119E
MJ004132	U+10119F
MJ004133	U+1011A0
MJ004134	U+1011A1
MJ004148	U+1011A2
MJ004149	U+1011A3
MJ004155	U+1011A4
MJ004156	U+1011A5
MJ004157	U+1011A6
MJ004158	U+1011A7
MJ004166	U+1011A8
MJ004167	U+1011A9
MJ004176	U+1011AA
MJ004177	U+1011AB
MJ004178	U+1011AC
MJ004196	U+1011AD
MJ004197	U+1011AE
MJ004198	U+1011AF
MJ004220	U+1011B0
MJ004221	U+1011B1
MJ004225	U+1011B2
MJ004226	U+1011B3
MJ004230	U+1011B4
MJ004231	U+1011B5
MJ004235	U+1011B6
MJ004236	U+1011B7
MJ004244	U+1011B8
MJ004245	U+1011B9
MJ004251	U+1011BA
MJ004252	U+1011BB
MJ004255	U+1011BC
MJ004256	U+1011BD
MJ004276	U+1011BE
MJ004277	U+1011BF
MJ004279	U+1011C0
MJ004280	U+1011C1
MJ004319	U+1011C2
MJ004320	U+1011C3
MJ004326	U+1011C4
MJ004327	U+1011C5
MJ004328	U+1011C6
MJ004335	U+1011C7
MJ004336	U+1011C8
MJ004351	U+1011C9
MJ004352	U+1011CA
MJ004387	U+1011CB
MJ004388	U+1011CC
MJ004426	U+1011CD
MJ004427	U+1011CE
MJ004440	U+1011CF
MJ004458	U+1011D0
MJ004459	U+1011D1
MJ004460	U+1011D2
MJ004461	U+1011D3
MJ004479	U+1011D4
MJ004480	U+1011D5
MJ004482	U+1011D6
MJ004485	U+1011D7
MJ004486	U+1011D8
MJ004487	U+1011D9
MJ004539	U+1011DA
MJ004540	U+1011DB
MJ004544	U+1011DC
MJ004545	U+1011DD
MJ004627	U+1011DE
MJ004628	U+1011DF
MJ004636	U+1011E0
MJ004648	U+1011E1
MJ004649	U+1011E2
MJ004654	U+1011E3
MJ004655	U+1011E4
MJ004658	U+1011E5
MJ004659	U+1011E6
MJ004711	U+1011E7
MJ004712	U+1011E8
MJ004721	U+1011E9
MJ004722	U+1011EA
MJ004741	U+1011EB
MJ004742	U+1011EC
MJ004840	U+1011ED
MJ004939	U+1011EE
MJ004940	U+1011EF
MJ004975	U+1011F0
MJ004976	U+1011F1
MJ004980	U+1011F2
MJ004981	U+1011F3
MJ004994	U+1011F4
MJ004995	U+1011F5
MJ004998	U+1011F6
MJ004999	U+1011F7
MJ005002	U+1011F8
MJ005003	U+1011F9
MJ005008	U+1011FA
MJ005009	U+1011FB
MJ005029	U+1011FC
MJ005030	U+1011FD
MJ005035	U+1011FE
MJ005036	U+1011FF
MJ005041	U+101200
MJ005042	U+101201
MJ005072	U+101202
MJ005073	U+101203
MJ005179	U+101204
MJ005180	U+101205
MJ005181	U+101206
MJ005197	U+101207
MJ005198	U+101208
MJ005225	U+101209
MJ005226	U+10120A
MJ005236	U+10120B
MJ005252	U+10120C
MJ005253	U+10120D
MJ005272	U+10120E
MJ005273	U+10120F
MJ005322	U+101210
MJ005323	U+101211
MJ005384	U+101212
MJ005385	U+101213
MJ005387	U+101214
MJ005388	U+101215
MJ005391	U+101216
MJ005392	U+101217
MJ005411	U+101218
MJ005412	U+101219
MJ005477	U+10121A
MJ005515	U+10121B
MJ005516	U+10121C
MJ005520	U+10121D
MJ005521	U+10121E
MJ005530	U+10121F
MJ005531	U+101220
MJ005532	U+101221
MJ005533	U+101222
MJ005572	U+101223
MJ005573	U+101224
MJ005624	U+101225
MJ005625	U+101226
MJ005626	U+101227
MJ005632	U+101228
MJ005633	U+101229
MJ005639	U+10122A
MJ005640	U+10122B
MJ005643	U+10122C
MJ005644	U+10122D
MJ005652	U+10122E
MJ005653	U+10122F
MJ005657	U+101230
MJ005658	U+101231
MJ005664	U+101232
MJ005665	U+101233
MJ005666	U+101234
MJ005667	U+101235
MJ005672	U+101236
MJ005673	U+101237
MJ005675	U+101238
MJ005676	U+101239
MJ005677	U+10123A
MJ005678	U+10123B
MJ005682	U+10123C
MJ005683	U+10123D
MJ005687	U+10123E
MJ005688	U+10123F
MJ005690	U+101240
MJ005691	U+101241
MJ005693	U+101242
MJ005694	U+101243
MJ005696	U+101244
MJ005697	U+101245
MJ005699	U+101246
MJ005700	U+101247
MJ005704	U+101248
MJ005705	U+101249
MJ005706	U+10124A
MJ005707	U+10124B
MJ005708	U+10124C
MJ005709	U+10124D
MJ005711	U+10124E
MJ005712	U+10124F
MJ005724	U+101250
MJ005725	U+101251
MJ005727	U+101252
MJ005728	U+101253
MJ005733	U+101254
MJ005734	U+101255
MJ005735	U+101256
MJ005736	U+101257
MJ005861	U+101258
MJ005862	U+101259
MJ005901	U+10125A
MJ005902	U+10125B
MJ005903	U+10125C
MJ005955	U+10125D
MJ005956	U+10125E
MJ006020	U+10125F
MJ006021	U+101260
MJ006064	U+101261
MJ006065	U+101262
MJ006068	U+101263
MJ006069	U+101264
MJ006104	U+101265
MJ006105	U+101266
MJ006143	U+101267
MJ006144	U+101268
MJ006153	U+101269
MJ006154	U+10126A
MJ006164	U+10126B
MJ006165	U+10126C
MJ006170	U+10126D
MJ006171	U+10126E
MJ006181	U+10126F
MJ006182	U+101270
MJ006288	U+101271
MJ006289	U+101272
MJ006300	U+101273
MJ006301	U+101274
MJ006303	U+101275
MJ006304	U+101276
MJ006310	U+101277
MJ006311	U+101278
MJ006312	U+101279
MJ006315	U+10127A
MJ006316	U+10127B
MJ006317	U+10127C
MJ006318	U+10127D
MJ006319	U+10127E
MJ006320	U+10127F
MJ006327	U+101280
MJ006328	U+101281
MJ006329	U+101282
MJ006340	U+101283
MJ006341	U+101284
MJ006350	U+101285
MJ006351	U+101286
MJ006355	U+101287
MJ006356	U+101288
MJ006358	U+101289
MJ006359	U+10128A
MJ006360	U+10128B
MJ006362	U+10128C
MJ006363	U+10128D
MJ006365	U+10128E
MJ006366	U+10128F
MJ006371	U+101290
MJ006372	U+101291
MJ006373	U+101292
MJ006374	U+101293
MJ006376	U+101294
MJ006377	U+101295
MJ006378	U+101296
MJ006379	U+101297
MJ006381	U+101298
MJ006394	U+101299
MJ006395	U+10129A
MJ006396	U+10129B
MJ006416	U+10129C
MJ006417	U+10129D
MJ006419	U+10129E
MJ006420	U+10129F
MJ006426	U+1012A0
MJ006427	U+1012A1
MJ006444	U+1012A2
MJ006457	U+1012A3
MJ006458	U+1012A4
MJ006459	U+1012A5
MJ006460	U+1012A6
MJ006461	U+1012A7
MJ006462	U+1012A8
MJ006463	U+1012A9
MJ006464	U+1012AA
MJ006465	U+1012AB
MJ006467	U+1012AC
MJ006468	U+1012AD
MJ006469	U+1012AE
MJ006470	U+1012AF
MJ006471	U+1012B0
MJ006473	U+1012B1
MJ006474	U+1012B2
MJ006477	U+1012B3
MJ006478	U+1012B4
MJ006485	U+1012B5
MJ006486	U+1012B6
MJ006487	U+1012B7
MJ006488	U+1012B8
MJ006489	U+1012B9
MJ006490	U+1012BA
MJ006491	U+1012BB
MJ006492	U+1012BC
MJ006505	U+1012BD
MJ006518	U+1012BE
MJ006519	U+1012BF
MJ006526	U+1012C0
MJ006527	U+1012C1
MJ006531	U+1012C2
MJ006533	U+1012C3
MJ006538	U+1012C4
MJ006539	U+1012C5
MJ006558	U+1012C6
MJ006559	U+1012C7
MJ006569	U+1012C8
MJ006570	U+1012C9
MJ006571	U+1012CA
MJ006599	U+1012CB
MJ006600	U+1012CC
MJ006601	U+1012CD
MJ006602	U+1012CE
MJ006605	U+1012CF
MJ006606	U+1012D0
MJ006616	U+1012D1
MJ006617	U+1012D2
MJ006632	U+1012D3
MJ006633	U+1012D4
MJ006637	U+1012D5
MJ006638	U+1012D6
MJ006651	U+1012D7
MJ006652	U+1012D8
MJ006658	U+1012D9
MJ006659	U+1012DA
MJ006660	U+1012DB
MJ006663	U+1012DC
MJ006664	U+1012DD
MJ006678	U+1012DE
MJ006679	U+1012DF
MJ006681	U+1012E0
MJ006682	U+1012E1
MJ006683	U+1012E2
MJ006684	U+1012E3
MJ006685	U+1012E4
MJ006686	U+1012E5
MJ006687	U+1012E6
MJ006688	U+1012E7
MJ006692	U+1012E8
MJ006698	U+1012E9
MJ006711	U+1012EA
MJ006717	U+1012EB
MJ006718	U+1012EC
MJ006723	U+1012ED
MJ006725	U+1012EE
MJ006726	U+1012EF
MJ006728	U+1012F0
MJ006731	U+1012F1
MJ006732	U+1012F2
MJ006736	U+1012F3
MJ006737	U+1012F4
MJ006741	U+1012F5
MJ006742	U+1012F6
MJ006749	U+1012F7
MJ006750	U+1012F8
MJ006762	U+1012F9
MJ006763	U+1012FA
MJ006776	U+1012FB
MJ006777	U+1012FC
MJ006783	U+1012FD
MJ006784	U+1012FE
MJ006785	U+1012FF
MJ006815	U+101300
MJ006816	U+101301
MJ006829	U+101302
MJ006830	U+101303
MJ006831	U+101304
MJ006832	U+101305
MJ006838	U+101306
MJ006839	U+101307
MJ006856	U+101308
MJ006857	U+101309
MJ006858	U+10130A
MJ006859	U+10130B
MJ006862	U+10130C
MJ006863	U+10130D
MJ006871	U+10130E
MJ006872	U+10130F
MJ006878	U+101310
MJ006879	U+101311
MJ006885	U+101312
MJ006886	U+101313
MJ006888	U+101314
MJ006889	U+101315
MJ006890	U+101316
MJ006891	U+101317
MJ006896	U+101318
MJ006897	U+101319
MJ006898	U+10131A
MJ006899	U+10131B
MJ006900	U+10131C
MJ006903	U+10131D
MJ006904	U+10131E
MJ006907	U+10131F
MJ006908	U+101320
MJ006909	U+101321
MJ006910	U+101322
MJ006915	U+101323
MJ006916	U+101324
MJ006922	U+101325
MJ006926	U+101326
MJ006927	U+101327
MJ006933	U+101328
MJ006934	U+101329
MJ006945	U+10132A
MJ006946	U+10132B
MJ006947	U+10132C
MJ006954	U+10132D
MJ006955	U+10132E
MJ006967	U+10132F
MJ006968	U+101330
MJ006976	U+101331
MJ006977	U+101332
MJ006979	U+101333
MJ006980	U+101334
MJ006981	U+101335
MJ006982	U+101336
MJ006986	U+101337
MJ006987	U+101338
MJ006988	U+101339
MJ006991	U+10133A
MJ006992	U+10133B
MJ006997	U+10133C
MJ006998	U+10133D
MJ007007	U+10133E
MJ007008	U+10133F
MJ007016	U+101340
MJ007017	U+101341
MJ007023	U+101342
MJ007024	U+101343
MJ007026	U+101344
MJ007027	U+101345
MJ007032	U+101346
MJ007033	U+101347
MJ007035	U+101348
MJ007036	U+101349
MJ007038	U+10134A
MJ007039	U+10134B
MJ007045	U+10134C
MJ007046	U+10134D
MJ007048	U+10134E
MJ007049	U+10134F
MJ007053	U+101350
MJ007054	U+101351
MJ007055	U+101352
MJ007056	U+101353
MJ007057	U+101354
MJ007062	U+101355
MJ007063	U+101356
MJ007064	U+101357
MJ007077	U+101358
MJ007078	U+101359
MJ007081	U+10135A
MJ007082	U+10135B
MJ007088	U+10135C
MJ007089	U+10135D
MJ007094	U+10135E
MJ007095	U+10135F
MJ007096	U+101360
MJ007097	U+101361
MJ007102	U+101362
MJ007103	U+101363
MJ007104	U+101364
MJ007105	U+101365
MJ007106	U+101366
MJ007107	U+101367
MJ007110	U+101368
MJ007111	U+101369
MJ007112	U+10136A
MJ007116	U+10136B
MJ007117	U+10136C
MJ007133	U+10136D
MJ007134	U+10136E
MJ007136	U+10136F
MJ007137	U+101370
MJ007139	U+101371
MJ007143	U+101372
MJ007144	U+101373
MJ007146	U+101374
MJ007147	U+101375
MJ007151	U+101376
MJ007152	U+101377
MJ007158	U+101378
MJ007159	U+101379
MJ007160	U+10137A
MJ007161	U+10137B
MJ007171	U+10137C
MJ007172	U+10137D
MJ007178	U+10137E
MJ007179	U+10137F
MJ007180	U+101380
MJ007182	U+101381
MJ007183	U+101382
MJ007188	U+101383
MJ007189	U+101384
MJ007190	U+101385
MJ007191	U+101386
MJ007199	U+101387
MJ007200	U+101388
MJ007201	U+101389
MJ007202	U+10138A
MJ007203	U+10138B
MJ007208	U+10138C
MJ007210	U+10138D
MJ007211	U+10138E
MJ007212	U+10138F
MJ007215	U+101390
MJ007216	U+101391
MJ007217	U+101392
MJ007218	U+101393
MJ007219	U+101394
MJ007222	U+101395
MJ007223	U+101396
MJ007224	U+101397
MJ007227	U+101398
MJ007228	U+101399
MJ007229	U+10139A
MJ007230	U+10139B
MJ007231	U+10139C
MJ007232	U+10139D
MJ007236	U+10139E
MJ007237	U+10139F
MJ007239	U+1013A0
MJ007240	U+1013A1
MJ007241	U+1013A2
MJ007242	U+1013A3
MJ007243	U+1013A4
MJ007259	U+1013A5
MJ007260	U+1013A6
MJ007267	U+1013A7
MJ007268	U+1013A8
MJ007269	U+1013A9
MJ007270	U+1013AA
MJ007271	U+1013AB
MJ007272	U+1013AC
MJ007273	U+1013AD
MJ007274	U+1013AE
MJ007275	U+1013AF
MJ007276	U+1013B0
MJ007278	U+1013B1
MJ007279	U+1013B2
MJ007283	U+1013B3
MJ007284	U+1013B4
MJ007288	U+1013B5
MJ007289	U+1013B6
MJ007290	U+1013B7
MJ007291	U+1013B8
MJ007293	U+1013B9
MJ007294	U+1013BA
MJ007296	U+1013BB
MJ007297	U+1013BC
MJ007298	U+1013BD
MJ007300	U+1013BE
MJ007304	U+1013BF
MJ007307	U+1013C0
MJ007308	U+1013C1
MJ007312	U+1013C2
MJ007313	U+1013C3
MJ007314	U+1013C4
MJ007318	U+1013C5
MJ007319	U+1013C6
MJ007320	U+1013C7
MJ007321	U+1013C8
MJ007322	U+1013C9
MJ007324	U+1013CA
MJ007325	U+1013CB
MJ007326	U+1013CC
MJ007327	U+1013CD
MJ007329	U+1013CE
MJ007330	U+1013CF
MJ007331	U+1013D0
MJ007334	U+1013D1
MJ007335	U+1013D2
MJ007339	U+1013D3
MJ007340	U+1013D4
MJ007341	U+1013D5
MJ007342	U+1013D6
MJ007343	U+1013D7
MJ007344	U+1013D8
MJ007346	U+1013D9
MJ007347	U+1013DA
MJ007348	U+1013DB
MJ007349	U+1013DC
MJ007350	U+1013DD
MJ007351	U+1013DE
MJ007352	U+1013DF
MJ007355	U+1013E0
MJ007356	U+1013E1
MJ007358	U+1013E2
MJ007359	U+1013E3
MJ007367	U+1013E4
MJ007368	U+1013E5
MJ007369	U+1013E6
MJ007370	U+1013E7
MJ007371	U+1013E8
MJ007372	U+1013E9
MJ007391	U+1013EA
MJ007392	U+1013EB
MJ007393	U+1013EC
MJ007394	U+1013ED
MJ007395	U+1013EE
MJ007396	U+1013EF
MJ007413	U+1013F0
MJ007414	U+1013F1
MJ007418	U+1013F2
MJ007419	U+1013F3
MJ007438	U+1013F4
MJ007443	U+1013F5
MJ007444	U+1013F6
MJ007445	U+1013F7
MJ007446	U+1013F8
MJ007450	U+1013F9
MJ007451	U+1013FA
MJ007452	U+1013FB
MJ007453	U+1013FC
MJ007455	U+1013FD
MJ007456	U+1013FE
MJ007457	U+1013FF
MJ007458	U+101400
MJ007459	U+101401
MJ007460	U+101402
MJ007464	U+101403
MJ007465	U+101404
MJ007473	U+101405
MJ007474	U+101406
MJ007486	U+101407
MJ007487	U+101408
MJ007491	U+101409
MJ007492	U+10140A
MJ007493	U+10140B
MJ007512	U+10140C
MJ007513	U+10140D
MJ007516	U+10140E
MJ007517	U+10140F
MJ007527	U+101410
MJ007528	U+101411
MJ007531	U+101412
MJ007532	U+101413
MJ007534	U+101414
MJ007535	U+101415
MJ007557	U+101416
MJ007558	U+101417
MJ007560	U+101418
MJ007561	U+101419
MJ007568	U+10141A
MJ007569	U+10141B
MJ007570	U+10141C
MJ007571	U+10141D
MJ007572	U+10141E
MJ007573	U+10141F
MJ007574	U+101420
MJ007575	U+101421
MJ007577	U+101422
MJ007578	U+101423
MJ007589	U+101424
MJ007590	U+101425
MJ007594	U+101426
MJ007595	U+101427
MJ007601	U+101428
MJ007602	U+101429
MJ007609	U+10142A
MJ007610	U+10142B
MJ007611	U+10142C
MJ007612	U+10142D
MJ007614	U+10142E
MJ007615	U+10142F
MJ007619	U+101430
MJ007620	U+101431
MJ007634	U+101432
MJ007645	U+101433
MJ007646	U+101434
MJ007655	U+101435
MJ007656	U+101436
MJ007665	U+101437
MJ007666	U+101438
MJ007667	U+101439
MJ007668	U+10143A
MJ007670	U+10143B
MJ007672	U+10143C
MJ007673	U+10143D
MJ007674	U+10143E
MJ007687	U+10143F
MJ007688	U+101440
MJ007692	U+101441
MJ007693	U+101442
MJ007694	U+101443
MJ007695	U+101444
MJ007696	U+101445
MJ007700	U+101446
MJ007701	U+101447
MJ007703	U+101448
MJ007704	U+101449
MJ007705	U+10144A
MJ007706	U+10144B
MJ007710	U+10144C
MJ007714	U+10144D
MJ007715	U+10144E
MJ007717	U+10144F
MJ007718	U+101450
MJ007722	U+101451
MJ007723	U+101452
MJ007729	U+101453
MJ007730	U+101454
MJ007731	U+101455
MJ007732	U+101456
MJ007733	U+101457
MJ007734	U+101458
MJ007736	U+101459
MJ007737	U+10145A
MJ007740	U+10145B
MJ007741	U+10145C
MJ007742	U+10145D
MJ007743	U+10145E
MJ007744	U+10145F
MJ007745	U+101460
MJ007755	U+101461
MJ007756	U+101462
MJ007757	U+101463
MJ007758	U+101464
MJ007759	U+101465
MJ007760	U+101466
MJ007761	U+101467
MJ007762	U+101468
MJ007763	U+101469
MJ007766	U+10146A
MJ007770	U+10146B
MJ007771	U+10146C
MJ007778	U+10146D
MJ007779	U+10146E
MJ007780	U+10146F
MJ007781	U+101470
MJ007802	U+101471
MJ007803	U+101472
MJ007811	U+101473
MJ007812	U+101474
MJ007813	U+101475
MJ007814	U+101476
